timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_size,tcp_flags,payload
10:00:01,192.168.1.10,192.168.1.1,50100,80,TCP,500,ACK,normal web request
10:00:02,192.168.1.20,192.168.1.1,50200,443,TCP,700,ACK,normal https request
10:01:10,192.168.1.50,192.168.1.1,40000,20,TCP,300,SYN,port probe login attempt
10:01:11,192.168.1.50,192.168.1.1,40001,21,TCP,300,SYN,port probe login attempt
10:01:12,192.168.1.50,192.168.1.1,40002,22,TCP,300,SYN,port probe login attempt
10:01:13,192.168.1.50,192.168.1.1,40003,23,TCP,300,SYN,port probe login attempt
10:01:14,192.168.1.50,192.168.1.1,40004,24,TCP,300,SYN,port probe login attempt
10:01:15,192.168.1.50,192.168.1.1,40005,25,TCP,300,SYN,port probe login attempt
10:01:16,192.168.1.50,192.168.1.1,40006,26,TCP,300,SYN,port probe login attempt
10:01:17,192.168.1.50,192.168.1.1,40007,27,TCP,300,SYN,port probe login attempt
10:01:18,192.168.1.50,192.168.1.1,40008,28,TCP,300,SYN,port probe login attempt
10:01:19,192.168.1.50,192.168.1.1,40009,29,TCP,300,SYN,port probe login attempt
10:01:20,192.168.1.50,192.168.1.1,40010,30,TCP,300,SYN,port probe login attempt
10:01:21,192.168.1.50,192.168.1.1,40011,31,TCP,300,SYN,port probe login attempt
10:01:22,192.168.1.50,192.168.1.1,40012,32,TCP,300,SYN,port probe login attempt
10:01:23,192.168.1.50,192.168.1.1,40013,33,TCP,300,SYN,port probe login attempt
10:01:24,192.168.1.50,192.168.1.1,40014,34,TCP,300,SYN,port probe login attempt
10:02:0,10.0.0.8,192.168.1.100,45000,80,TCP,600,SYN,syn flood traffic
10:02:1,10.0.0.8,192.168.1.100,45001,80,TCP,600,SYN,syn flood traffic
10:02:2,10.0.0.8,192.168.1.100,45002,80,TCP,600,SYN,syn flood traffic
10:02:3,10.0.0.8,192.168.1.100,45003,80,TCP,600,SYN,syn flood traffic
10:02:4,10.0.0.8,192.168.1.100,45004,80,TCP,600,SYN,syn flood traffic
10:02:5,10.0.0.8,192.168.1.100,45005,80,TCP,600,SYN,syn flood traffic
10:02:6,10.0.0.8,192.168.1.100,45006,80,TCP,600,SYN,syn flood traffic
10:02:7,10.0.0.8,192.168.1.100,45007,80,TCP,600,SYN,syn flood traffic
10:02:8,10.0.0.8,192.168.1.100,45008,80,TCP,600,SYN,syn flood traffic
10:02:9,10.0.0.8,192.168.1.100,45009,80,TCP,600,SYN,syn flood traffic
10:02:10,10.0.0.8,192.168.1.100,45010,80,TCP,600,SYN,syn flood traffic
10:02:11,10.0.0.8,192.168.1.100,45011,80,TCP,600,SYN,syn flood traffic
10:02:12,10.0.0.8,192.168.1.100,45012,80,TCP,600,SYN,syn flood traffic
10:02:13,10.0.0.8,192.168.1.100,45013,80,TCP,600,SYN,syn flood traffic
10:02:14,10.0.0.8,192.168.1.100,45014,80,TCP,600,SYN,syn flood traffic
10:02:15,10.0.0.8,192.168.1.100,45015,80,TCP,600,SYN,syn flood traffic
10:02:16,10.0.0.8,192.168.1.100,45016,80,TCP,600,SYN,syn flood traffic
10:02:17,10.0.0.8,192.168.1.100,45017,80,TCP,600,SYN,syn flood traffic
10:02:18,10.0.0.8,192.168.1.100,45018,80,TCP,600,SYN,syn flood traffic
10:02:19,10.0.0.8,192.168.1.100,45019,80,TCP,600,SYN,syn flood traffic
10:02:20,10.0.0.8,192.168.1.100,45020,80,TCP,600,SYN,syn flood traffic
10:02:21,10.0.0.8,192.168.1.100,45021,80,TCP,600,SYN,syn flood traffic
10:02:22,10.0.0.8,192.168.1.100,45022,80,TCP,600,SYN,syn flood traffic
10:02:23,10.0.0.8,192.168.1.100,45023,80,TCP,600,SYN,syn flood traffic
10:02:24,10.0.0.8,192.168.1.100,45024,80,TCP,600,SYN,syn flood traffic
10:02:25,10.0.0.8,192.168.1.100,45025,80,TCP,600,SYN,syn flood traffic
10:02:26,10.0.0.8,192.168.1.100,45026,80,TCP,600,SYN,syn flood traffic
10:02:27,10.0.0.8,192.168.1.100,45027,80,TCP,600,SYN,syn flood traffic
10:02:28,10.0.0.8,192.168.1.100,45028,80,TCP,600,SYN,syn flood traffic
10:02:29,10.0.0.8,192.168.1.100,45029,80,TCP,600,SYN,syn flood traffic
10:02:30,10.0.0.8,192.168.1.100,45030,80,TCP,600,SYN,syn flood traffic
10:02:31,10.0.0.8,192.168.1.100,45031,80,TCP,600,SYN,syn flood traffic
10:02:32,10.0.0.8,192.168.1.100,45032,80,TCP,600,SYN,syn flood traffic
10:02:33,10.0.0.8,192.168.1.100,45033,80,TCP,600,SYN,syn flood traffic
10:02:34,10.0.0.8,192.168.1.100,45034,80,TCP,600,SYN,syn flood traffic
10:02:35,10.0.0.8,192.168.1.100,45035,80,TCP,600,SYN,syn flood traffic
10:02:36,10.0.0.8,192.168.1.100,45036,80,TCP,600,SYN,syn flood traffic
10:02:37,10.0.0.8,192.168.1.100,45037,80,TCP,600,SYN,syn flood traffic
10:02:38,10.0.0.8,192.168.1.100,45038,80,TCP,600,SYN,syn flood traffic
10:02:39,10.0.0.8,192.168.1.100,45039,80,TCP,600,SYN,syn flood traffic
10:02:40,10.0.0.8,192.168.1.100,45040,80,TCP,600,SYN,syn flood traffic
10:02:41,10.0.0.8,192.168.1.100,45041,80,TCP,600,SYN,syn flood traffic
10:02:42,10.0.0.8,192.168.1.100,45042,80,TCP,600,SYN,syn flood traffic
10:02:43,10.0.0.8,192.168.1.100,45043,80,TCP,600,SYN,syn flood traffic
10:02:44,10.0.0.8,192.168.1.100,45044,80,TCP,600,SYN,syn flood traffic
10:02:45,10.0.0.8,192.168.1.100,45045,80,TCP,600,SYN,syn flood traffic
10:02:46,10.0.0.8,192.168.1.100,45046,80,TCP,600,SYN,syn flood traffic
10:02:47,10.0.0.8,192.168.1.100,45047,80,TCP,600,SYN,syn flood traffic
10:02:48,10.0.0.8,192.168.1.100,45048,80,TCP,600,SYN,syn flood traffic
10:02:49,10.0.0.8,192.168.1.100,45049,80,TCP,600,SYN,syn flood traffic
10:02:50,10.0.0.8,192.168.1.100,45050,80,TCP,600,SYN,syn flood traffic
10:02:51,10.0.0.8,192.168.1.100,45051,80,TCP,600,SYN,syn flood traffic
10:02:52,10.0.0.8,192.168.1.100,45052,80,TCP,600,SYN,syn flood traffic
10:02:53,10.0.0.8,192.168.1.100,45053,80,TCP,600,SYN,syn flood traffic
10:02:54,10.0.0.8,192.168.1.100,45054,80,TCP,600,SYN,syn flood traffic
10:02:55,10.0.0.8,192.168.1.100,45055,80,TCP,600,SYN,syn flood traffic
10:02:56,10.0.0.8,192.168.1.100,45056,80,TCP,600,SYN,syn flood traffic
10:02:57,10.0.0.8,192.168.1.100,45057,80,TCP,600,SYN,syn flood traffic
10:02:58,10.0.0.8,192.168.1.100,45058,80,TCP,600,SYN,syn flood traffic
10:02:59,10.0.0.8,192.168.1.100,45059,80,TCP,600,SYN,syn flood traffic
10:02:0,10.0.0.8,192.168.1.100,45060,80,TCP,600,SYN,syn flood traffic
10:02:1,10.0.0.8,192.168.1.100,45061,80,TCP,600,SYN,syn flood traffic
10:02:2,10.0.0.8,192.168.1.100,45062,80,TCP,600,SYN,syn flood traffic
10:02:3,10.0.0.8,192.168.1.100,45063,80,TCP,600,SYN,syn flood traffic
10:02:4,10.0.0.8,192.168.1.100,45064,80,TCP,600,SYN,syn flood traffic
10:02:5,10.0.0.8,192.168.1.100,45065,80,TCP,600,SYN,syn flood traffic
10:02:6,10.0.0.8,192.168.1.100,45066,80,TCP,600,SYN,syn flood traffic
10:02:7,10.0.0.8,192.168.1.100,45067,80,TCP,600,SYN,syn flood traffic
10:02:8,10.0.0.8,192.168.1.100,45068,80,TCP,600,SYN,syn flood traffic
10:02:9,10.0.0.8,192.168.1.100,45069,80,TCP,600,SYN,syn flood traffic
10:02:10,10.0.0.8,192.168.1.100,45070,80,TCP,600,SYN,syn flood traffic
10:02:11,10.0.0.8,192.168.1.100,45071,80,TCP,600,SYN,syn flood traffic
10:02:12,10.0.0.8,192.168.1.100,45072,80,TCP,600,SYN,syn flood traffic
10:02:13,10.0.0.8,192.168.1.100,45073,80,TCP,600,SYN,syn flood traffic
10:02:14,10.0.0.8,192.168.1.100,45074,80,TCP,600,SYN,syn flood traffic
10:02:15,10.0.0.8,192.168.1.100,45075,80,TCP,600,SYN,syn flood traffic
10:02:16,10.0.0.8,192.168.1.100,45076,80,TCP,600,SYN,syn flood traffic
10:02:17,10.0.0.8,192.168.1.100,45077,80,TCP,600,SYN,syn flood traffic
10:02:18,10.0.0.8,192.168.1.100,45078,80,TCP,600,SYN,syn flood traffic
10:02:19,10.0.0.8,192.168.1.100,45079,80,TCP,600,SYN,syn flood traffic
10:02:20,10.0.0.8,192.168.1.100,45080,80,TCP,600,SYN,syn flood traffic
10:02:21,10.0.0.8,192.168.1.100,45081,80,TCP,600,SYN,syn flood traffic
10:02:22,10.0.0.8,192.168.1.100,45082,80,TCP,600,SYN,syn flood traffic
10:02:23,10.0.0.8,192.168.1.100,45083,80,TCP,600,SYN,syn flood traffic
10:02:24,10.0.0.8,192.168.1.100,45084,80,TCP,600,SYN,syn flood traffic
10:02:25,10.0.0.8,192.168.1.100,45085,80,TCP,600,SYN,syn flood traffic
10:02:26,10.0.0.8,192.168.1.100,45086,80,TCP,600,SYN,syn flood traffic
10:02:27,10.0.0.8,192.168.1.100,45087,80,TCP,600,SYN,syn flood traffic
10:02:28,10.0.0.8,192.168.1.100,45088,80,TCP,600,SYN,syn flood traffic
10:02:29,10.0.0.8,192.168.1.100,45089,80,TCP,600,SYN,syn flood traffic
10:02:30,10.0.0.8,192.168.1.100,45090,80,TCP,600,SYN,syn flood traffic
10:02:31,10.0.0.8,192.168.1.100,45091,80,TCP,600,SYN,syn flood traffic
10:02:32,10.0.0.8,192.168.1.100,45092,80,TCP,600,SYN,syn flood traffic
10:02:33,10.0.0.8,192.168.1.100,45093,80,TCP,600,SYN,syn flood traffic
10:02:34,10.0.0.8,192.168.1.100,45094,80,TCP,600,SYN,syn flood traffic
10:02:35,10.0.0.8,192.168.1.100,45095,80,TCP,600,SYN,syn flood traffic
10:02:36,10.0.0.8,192.168.1.100,45096,80,TCP,600,SYN,syn flood traffic
10:02:37,10.0.0.8,192.168.1.100,45097,80,TCP,600,SYN,syn flood traffic
10:02:38,10.0.0.8,192.168.1.100,45098,80,TCP,600,SYN,syn flood traffic
10:02:39,10.0.0.8,192.168.1.100,45099,80,TCP,600,SYN,syn flood traffic
10:02:40,10.0.0.8,192.168.1.100,45100,80,TCP,600,SYN,syn flood traffic
10:02:41,10.0.0.8,192.168.1.100,45101,80,TCP,600,SYN,syn flood traffic
10:02:42,10.0.0.8,192.168.1.100,45102,80,TCP,600,SYN,syn flood traffic
10:02:43,10.0.0.8,192.168.1.100,45103,80,TCP,600,SYN,syn flood traffic
10:02:44,10.0.0.8,192.168.1.100,45104,80,TCP,600,SYN,syn flood traffic
10:02:45,10.0.0.8,192.168.1.100,45105,80,TCP,600,SYN,syn flood traffic
10:02:46,10.0.0.8,192.168.1.100,45106,80,TCP,600,SYN,syn flood traffic
10:02:47,10.0.0.8,192.168.1.100,45107,80,TCP,600,SYN,syn flood traffic
10:02:48,10.0.0.8,192.168.1.100,45108,80,TCP,600,SYN,syn flood traffic
10:02:49,10.0.0.8,192.168.1.100,45109,80,TCP,600,SYN,syn flood traffic
10:02:50,10.0.0.8,192.168.1.100,45110,80,TCP,600,SYN,syn flood traffic
10:02:51,10.0.0.8,192.168.1.100,45111,80,TCP,600,SYN,syn flood traffic
10:02:52,10.0.0.8,192.168.1.100,45112,80,TCP,600,SYN,syn flood traffic
10:02:53,10.0.0.8,192.168.1.100,45113,80,TCP,600,SYN,syn flood traffic
10:02:54,10.0.0.8,192.168.1.100,45114,80,TCP,600,SYN,syn flood traffic
10:02:55,10.0.0.8,192.168.1.100,45115,80,TCP,600,SYN,syn flood traffic
10:02:56,10.0.0.8,192.168.1.100,45116,80,TCP,600,SYN,syn flood traffic
10:02:57,10.0.0.8,192.168.1.100,45117,80,TCP,600,SYN,syn flood traffic
10:02:58,10.0.0.8,192.168.1.100,45118,80,TCP,600,SYN,syn flood traffic
10:02:59,10.0.0.8,192.168.1.100,45119,80,TCP,600,SYN,syn flood traffic
10:03:01,172.16.0.5,192.168.1.9,55555,3389,TCP,1600,SYN,admin password exploit shell
10:03:02,172.16.0.5,192.168.1.9,55556,445,TCP,1500,SYN,malware payload attack
